id,course_information,postgraduate_or_undergraduate,field_of_education,age,gender,citizenship,term_residence,permanent_residence,basis_for_admission,type_of_attendance,mode_of_attendance,country_of_birth,language_spoken_at_home,year_of_arrival_in_usa,entrance_score,equity_data,highest_level_of_education_prior_to_commencement,course_completion_year,course_gpa_earned
507,PPM,Postgraduate,Computer Science,10/10/1997,Female,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2004,339,,Baccalaureate,2014,3.31
508,MSIT,Postgraduate,Computer Science,9/9/1995,Male,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2007,330,,Baccalaureate,2012,3.45
509,Global MISM,Postgraduate,Computer Science,13/05/1996,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2011,302,,Post-graduate,2010,3.54
510,PPM,Postgraduate,Computer Science,18/07/1996,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2007,309,Women in non-traditional areas,Professional Certification,2013,3.64
511,Global MISM,Undergraduate,Computer Science,8/8/1980,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2011,340,,Professional Certification,2014,3.74
512,MISM,Undergraduate,Computer Science,18/12/1983,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2008,325,Regional/ Remote,Professional Certification,2014,3.62
513,PPM,Undergraduate,Computer Science,16/11/1987,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2006,317,,Professional Certification,2011,3.44
514,PPM,Postgraduate,Computer Science,13/12/1981,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2011,314,,Baccalaureate,2013,3.78
515,MSIT,Postgraduate,Computer Science,13/04/1986,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2005,336,,Diploma,2012,3.84
516,PPM,Postgraduate,Computer Science,27/08/1981,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2008,300,,Baccalaureate,2014,3.22
517,Global MISM,Undergraduate,Computer Science,29/01/1994,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2012,331,Regional/ Remote,Post-graduate,2012,3.7
518,MSIT,Postgraduate,Computer Science,17/01/1990,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2007,333,,Baccalaureate,2014,3.98
519,PPM,Undergraduate,Computer Science,6/8/1996,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2007,325,Disability,Baccalaureate,2013,3.3
520,MISM,Postgraduate,Computer Science,29/05/1988,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2009,309,,Professional Certification,2012,3.33
521,Global PPM,Postgraduate,Computer Science,24/02/1985,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2011,305,,Post-graduate,2013,3.65
522,Global PPM,Undergraduate,Computer Science,26/08/1995,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2004,322,low-income,Baccalaureate,2012,3.6
523,MISM,Undergraduate,Computer Science,23/06/1997,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2005,322,Regional/ Remote,Post-graduate,2011,3.35
524,Global PPM,Postgraduate,Computer Science,27/11/1988,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2006,335,,Post-graduate,2012,3.75
525,PPM,Undergraduate,Computer Science,5/11/1986,Male,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2012,308,,Post-graduate,2014,3.43
526,Global PPM,Postgraduate,Computer Science,15/09/1986,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2008,314,Regional/ Remote,Diploma,2010,3.82
527,MSIT,Postgraduate,Computer Science,4/6/1992,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2012,325,,Diploma,2013,3.76
528,MISM,Postgraduate,Computer Science,9/11/1994,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2011,307,,Professional Certification,2012,3.23
529,PPM,Undergraduate,Computer Science,21/07/1984,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2007,312,low-income,Professional Certification,2010,3.44
530,Global MISM,Undergraduate,Computer Science,28/10/1984,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2006,319,,Baccalaureate,2012,3.63
531,PPM,Undergraduate,Computer Science,16/07/1982,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2007,315,,Professional Certification,2011,3.64
532,Global MISM,Undergraduate,Computer Science,12/4/1994,Male,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2005,302,,Baccalaureate,2011,3.79
533,Global MISM,Postgraduate,Computer Science,20/08/1988,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2005,313,,Diploma,2011,3.8
534,MISM,Postgraduate,Computer Science,13/10/1986,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2008,323,Regional/ Remote,Baccalaureate,2012,3.81
535,MSIT,Undergraduate,Computer Science,1/4/1981,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2012,339,,Post-graduate,2014,3.24
536,Global PPM,Postgraduate,Computer Science,6/7/1993,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2007,317,,Professional Certification,2010,3.98
537,MSIT,Postgraduate,Computer Science,30/03/1984,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2012,329,,Baccalaureate,2011,3.26
538,MISM,Postgraduate,Computer Science,6/10/1997,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2008,327,Women in non-traditional areas,Professional Certification,2013,3.5
539,Global PPM,Undergraduate,Computer Science,31/12/1988,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2010,332,,Professional Certification,2010,3.93
540,PPM,Postgraduate,Computer Science,15/10/1984,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2006,328,,Professional Certification,2010,3.98
541,Global MISM,Postgraduate,Computer Science,4/9/1984,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2004,310,,Professional Certification,2013,3.98
542,MISM,Undergraduate,Computer Science,3/2/1990,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2009,300,,Diploma,2014,3.8
543,Global PPM,Undergraduate,Computer Science,9/4/1995,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2010,318,,Diploma,2014,3.49
544,MISM,Postgraduate,Computer Science,23/06/1983,Male,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2004,327,,Diploma,2011,3.69
545,PPM,Postgraduate,Computer Science,8/8/1993,Male,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2012,307,,Professional Certification,2013,3.36
546,MISM,Undergraduate,Computer Science,29/08/1995,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2008,323,low-income,Baccalaureate,2012,3.21
547,MSIT,Postgraduate,Computer Science,30/10/1983,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2007,305,,Diploma,2011,3.95
548,Global MISM,Postgraduate,Computer Science,18/09/1984,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2009,306,Disability,Professional Certification,2013,3.81
549,MISM,Undergraduate,Computer Science,16/01/1980,Male,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2007,304,,Professional Certification,2010,3.34
550,PPM,Undergraduate,Computer Science,9/3/1991,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2006,327,,Baccalaureate,2011,3.24
551,Global MISM,Postgraduate,Computer Science,31/03/1995,Male,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2005,304,,Professional Certification,2012,3.29
552,PPM,Postgraduate,Computer Science,31/08/1991,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2005,314,,Baccalaureate,2010,3.71
553,MSIT,Postgraduate,Computer Science,9/11/1989,Male,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2008,308,,Professional Certification,2010,3.35
554,MSIT,Undergraduate,Computer Science,17/12/1988,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2008,326,,Post-graduate,2012,3.31
555,Global PPM,Postgraduate,Computer Science,23/04/1995,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2007,316,Regional/ Remote,Baccalaureate,2013,3.4
556,MSIT,Undergraduate,Computer Science,13/01/1994,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2006,331,,Diploma,2011,3.71
557,MSIT,Undergraduate,Computer Science,21/06/1991,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2005,333,,Professional Certification,2010,3.28
558,Global MISM,Undergraduate,Computer Science,3/10/1996,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2007,317,,Diploma,2013,3.72
559,PPM,Undergraduate,Computer Science,20/01/1992,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2011,307,,Baccalaureate,2010,3.67
560,Global PPM,Undergraduate,Computer Science,12/12/1982,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2010,330,,Professional Certification,2011,3.4
561,Global MISM,Postgraduate,Computer Science,18/06/1992,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2009,323,,Professional Certification,2010,3.73
562,PPM,Undergraduate,Computer Science,29/12/1991,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2012,302,Women in non-traditional areas,Professional Certification,2014,3.23
563,MISM,Postgraduate,Computer Science,3/11/1980,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2012,327,,Post-graduate,2014,3.87
564,Global MISM,Undergraduate,Computer Science,26/03/1992,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2004,318,,Baccalaureate,2010,3.8
565,Global PPM,Undergraduate,Computer Science,31/03/1980,Male,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2008,325,,Baccalaureate,2014,3.99
566,MISM,Undergraduate,Computer Science,18/03/1991,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2007,304,,Baccalaureate,2012,3.42
567,MISM,Postgraduate,Computer Science,7/8/1995,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2007,339,,Baccalaureate,2014,3.72
568,MISM,Undergraduate,Computer Science,30/11/1996,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2005,320,,Professional Certification,2010,3.33
569,Global PPM,Postgraduate,Computer Science,10/8/1991,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2012,303,Regional/ Remote,Post-graduate,2014,3.43
570,MSIT,Undergraduate,Computer Science,22/05/1989,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2005,312,,Post-graduate,2010,3.81
571,MSIT,Undergraduate,Computer Science,21/06/1996,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2012,312,,Post-graduate,2010,3.31
572,Global MISM,Postgraduate,Computer Science,13/06/1997,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2009,337,,Post-graduate,2010,3.34
573,MSIT,Postgraduate,Computer Science,22/04/1988,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2009,327,,Baccalaureate,2011,3.22
574,MSIT,Postgraduate,Computer Science,17/12/1980,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2008,337,Disability,Diploma,2014,3.52
575,Global MISM,Postgraduate,Computer Science,8/9/1986,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2012,315,,Post-graduate,2010,3.76
576,Global MISM,Postgraduate,Computer Science,11/11/1995,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2007,320,,Professional Certification,2014,3.69
577,PPM,Postgraduate,Computer Science,5/6/1984,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2009,332,Regional/ Remote,Diploma,2014,3.66
578,PPM,Postgraduate,Computer Science,14/04/1995,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2005,332,Regional/ Remote,Post-graduate,2011,3.39
579,Global MISM,Postgraduate,Computer Science,24/10/1990,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2009,314,Disability,Baccalaureate,2011,3.44
580,MSIT,Postgraduate,Computer Science,29/08/1996,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2008,301,,Professional Certification,2014,3.21
581,MSIT,Undergraduate,Computer Science,27/11/1992,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2010,312,,Baccalaureate,2011,3.89
582,MISM,Undergraduate,Computer Science,19/12/1996,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2005,336,,Post-graduate,2012,3.59
583,Global MISM,Postgraduate,Computer Science,6/7/1995,Female,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2005,323,,Diploma,2013,3.44
584,PPM,Postgraduate,Computer Science,26/12/1983,Female,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2007,329,,Professional Certification,2011,3.57
585,Global MISM,Postgraduate,Computer Science,5/7/1985,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2011,302,Disability,Diploma,2010,3.63
586,MISM,Postgraduate,Computer Science,26/11/1996,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2006,308,,Baccalaureate,2014,3.89
587,Global PPM,Postgraduate,Computer Science,26/10/1992,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2005,321,Disability,Baccalaureate,2012,3.62
588,PPM,Undergraduate,Computer Science,1/9/1985,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2009,327,,Diploma,2010,3.65
589,MISM,Postgraduate,Medicine,31/08/1982,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2004,334,Disability,Diploma,2013,3.87
590,Global PPM,Postgraduate,Computer Science,8/5/1990,Male,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2009,303,,Baccalaureate,2011,3.22
591,MISM,Postgraduate,Mathematics,25/11/1989,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2004,307,,Post-graduate,2013,3.69
592,Global MISM,Undergraduate,Medicine,6/5/1983,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2011,321,,Post-graduate,2013,3.72
593,Global PPM,Postgraduate,IT,14/05/1997,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2010,327,,Post-graduate,2010,3.3
594,Global MISM,Postgraduate,Mathematics,16/06/1994,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2012,312,,Baccalaureate,2010,3.72
595,Global MISM,Undergraduate,IT,12/7/1995,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2007,332,Disability,Diploma,2010,3.53
596,PPM,Postgraduate,Public Administration,22/07/1996,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2008,337,,Professional Certification,2012,3.38
597,Global MISM,Undergraduate,Psychology,1/9/1992,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2008,323,Women in non-traditional areas,Diploma,2013,3.65
598,MISM,Postgraduate,IT,8/2/1996,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2011,310,Women in non-traditional areas,Diploma,2014,3.41
599,MISM,Postgraduate,Mathematics,26/07/1981,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2005,306,,Diploma,2013,3.94
600,MSIT,Postgraduate,Medicine,29/04/1987,Male,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2007,325,,Post-graduate,2011,3.3
601,MISM,Postgraduate,Computer Science,23/01/1984,Female,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2009,300,,Professional Certification,2012,3.38
602,Global MISM,Undergraduate,Mathematics,30/01/1994,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2010,304,,Professional Certification,2011,3.59
603,Global PPM,Undergraduate,Mathematics,3/4/1997,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2007,305,,Baccalaureate,2014,3.41
604,PPM,Postgraduate,Medicine,15/12/1997,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2012,336,low-income,Baccalaureate,2012,3.26
605,Global MISM,Postgraduate,Public Administration,12/9/1992,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2011,301,,Professional Certification,2010,3.65
606,Global PPM,Postgraduate,Public Administration,1/8/1982,Male,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2009,332,low-income,Post-graduate,2010,3.95
607,MISM,Postgraduate,Psychology,9/11/1990,Female,Russia,Russia,Russia,GRE,Full-time,Internal,Russia,Russian,2010,328,Regional/ Remote,Post-graduate,2010,3.39
608,MSIT,Postgraduate,Medicine,19/09/1995,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2006,318,,Professional Certification,2010,3.32
609,MISM,Undergraduate,Computer Science,6/5/1984,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2007,338,,Diploma,2014,3.79
610,PPM,Undergraduate,Psychology,23/06/1987,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2012,309,,Professional Certification,2010,3.61
611,Global PPM,Postgraduate,Public Administration,31/03/1993,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2007,317,,Diploma,2014,3.8
612,Global PPM,Undergraduate,Psychology,28/02/1987,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2006,317,,Post-graduate,2011,3.92
613,PPM,Undergraduate,Computer Science,2/10/1991,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2005,330,,Diploma,2012,3.86
614,MSIT,Postgraduate,Mathematics,20/02/1988,Male,Russia,Russia,Russia,GRE,Part-time,Multi-modal,Russia,Russian,2006,327,,Post-graduate,2011,3.6
615,Global PPM,Undergraduate,Public Administration,16/03/1984,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2007,317,low-income,Post-graduate,2011,3.55
616,PPM,Postgraduate,Mathematics,16/10/1995,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2006,313,,Post-graduate,2012,3.98
617,MISM,Undergraduate,Medicine,27/05/1992,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2009,328,,Professional Certification,2011,3.4
618,PPM,Postgraduate,Computer Science,20/11/1991,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2007,307,Disability,Baccalaureate,2014,3.45
619,Global PPM,Postgraduate,Mathematics,7/9/1997,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2008,300,Disability,Baccalaureate,2011,3.34
620,PPM,Undergraduate,Medicine,18/02/1984,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2007,332,,Post-graduate,2012,3.9
621,Global PPM,Undergraduate,Mathematics,28/03/1989,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2006,311,,Professional Certification,2010,3.5
622,Global PPM,Undergraduate,Mathematics,2/8/1983,Male,India,India,India,GRE,Part-time,External,India,Hindi,2009,339,,Diploma,2010,3.78
623,PPM,Postgraduate,Psychology,3/12/1996,Female,India,India,India,GRE,Part-time,External,India,Hindi,2007,300,,Diploma,2010,3.58
624,PPM,Postgraduate,Medicine,27/05/1981,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2011,317,Women in non-traditional areas,Post-graduate,2013,3.34
625,PPM,Postgraduate,Computer Science,4/6/1983,Female,India,India,India,GRE,Part-time,External,India,Hindi,2008,324,,Baccalaureate,2011,3.75
626,PPM,Postgraduate,Computer Science,27/09/1982,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2006,328,,Diploma,2012,3.59
627,MISM,Undergraduate,IT,17/02/1985,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2007,314,,Baccalaureate,2013,4
628,Global MISM,Postgraduate,Medicine,22/12/1994,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2006,339,Disability,Professional Certification,2013,3.39
629,PPM,Postgraduate,Computer Science,29/10/1995,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2008,319,low-income,Professional Certification,2011,3.72
630,Global PPM,Postgraduate,Public Administration,17/01/1986,Male,India,India,India,GRE,Part-time,External,India,Hindi,2010,301,,Baccalaureate,2014,3.53
631,PPM,Undergraduate,Mathematics,9/1/1980,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2007,315,Regional/ Remote,Baccalaureate,2013,3.45
632,Global PPM,Undergraduate,IT,2/12/1986,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2011,309,Regional/ Remote,Baccalaureate,2010,3.54
633,MSIT,Undergraduate,Mathematics,6/3/1985,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2009,338,,Post-graduate,2013,3.99
634,Global MISM,Postgraduate,Computer Science,7/12/1991,Male,India,India,India,GRE,Part-time,External,India,Hindi,2006,309,Regional/ Remote,Diploma,2013,3.36
635,MISM,Postgraduate,Mathematics,9/10/1991,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2011,333,,Professional Certification,2014,3.96
636,Global MISM,Undergraduate,Public Administration,30/05/1984,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2012,305,,Post-graduate,2013,3.55
637,PPM,Undergraduate,Mathematics,21/04/1986,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2012,306,low-income,Post-graduate,2013,3.69
638,MSIT,Postgraduate,IT,1/10/1983,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2008,337,Women in non-traditional areas,Baccalaureate,2012,3.59
639,Global PPM,Undergraduate,Public Administration,25/10/1985,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2009,335,,Post-graduate,2013,3.2
640,PPM,Undergraduate,IT,7/2/1996,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2006,315,Disability,Baccalaureate,2014,3.3
641,Global PPM,Undergraduate,IT,10/10/1991,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2010,321,,Diploma,2012,3.65
642,Global PPM,Postgraduate,Computer Science,5/2/1991,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2006,338,Disability,Diploma,2012,3.5
643,Global PPM,Undergraduate,Computer Science,14/04/1992,Male,India,India,India,GRE,Part-time,External,India,Hindi,2009,306,low-income,Baccalaureate,2011,3.83
644,MISM,Undergraduate,Public Administration,7/5/1996,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2011,304,low-income,Diploma,2013,3.32
645,Global PPM,Undergraduate,Medicine,11/4/1995,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2005,326,Disability,Baccalaureate,2013,3.36
646,Global PPM,Postgraduate,Public Administration,29/07/1992,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2008,328,,Post-graduate,2013,3.88
647,PPM,Postgraduate,Computer Science,25/09/1995,Male,India,India,India,GRE,Part-time,External,India,Hindi,2006,315,,Diploma,2010,3.84
648,MSIT,Postgraduate,Medicine,26/02/1987,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2004,303,,Professional Certification,2011,3.71
649,Global MISM,Undergraduate,Public Administration,18/07/1994,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2004,321,Disability,Baccalaureate,2013,3.78
650,MISM,Postgraduate,Mathematics,27/02/1983,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2006,313,Women in non-traditional areas,Diploma,2013,3.58
651,Global PPM,Undergraduate,IT,22/05/1985,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2006,321,,Post-graduate,2013,3.85
652,MSIT,Undergraduate,Mathematics,11/2/1984,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2005,313,Regional/ Remote,Diploma,2013,3.72
653,Global PPM,Postgraduate,Medicine,19/01/1985,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2012,331,,Baccalaureate,2011,3.69
654,MISM,Undergraduate,Public Administration,8/4/1987,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2011,317,,Post-graduate,2013,3.98
655,Global MISM,Postgraduate,Psychology,26/09/1995,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2005,333,,Baccalaureate,2012,3.6
656,Global MISM,Undergraduate,IT,26/04/1989,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2005,302,,Diploma,2014,3.74
657,Global PPM,Postgraduate,Medicine,19/06/1986,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2012,334,,Professional Certification,2011,3.64
658,MISM,Undergraduate,Mathematics,1/12/1992,Male,India,India,India,GRE,Part-time,External,India,Hindi,2004,340,Women in non-traditional areas,Baccalaureate,2010,3.78
659,Global MISM,Postgraduate,Psychology,8/3/1996,Female,India,India,India,GRE,Part-time,External,India,Hindi,2004,324,Regional/ Remote,Post-graduate,2011,3.65
660,Global PPM,Postgraduate,Psychology,29/08/1985,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2005,308,,Professional Certification,2014,3.48
661,PPM,Undergraduate,Mathematics,3/3/1984,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2006,334,,Professional Certification,2010,3.85
662,PPM,Undergraduate,Public Administration,4/11/1989,Male,India,India,India,GRE,Part-time,External,India,Hindi,2009,323,,Diploma,2011,3.59
663,Global MISM,Undergraduate,Psychology,16/07/1995,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2008,302,,Professional Certification,2012,3.93
664,MISM,Undergraduate,Mathematics,4/2/1997,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2008,316,Disability,Professional Certification,2011,3.84
665,PPM,Undergraduate,Public Administration,7/12/1985,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2007,335,,Diploma,2014,3.65
666,Global PPM,Postgraduate,Mathematics,2/8/1981,Male,India,India,India,GRE,Full-time,External,India,Hindi,2005,315,,Post-graduate,2013,3.36
667,MSIT,Postgraduate,IT,11/6/1986,Male,India,India,India,GRE,Part-time,External,India,Hindi,2007,305,,Baccalaureate,2011,3.56
668,PPM,Postgraduate,IT,24/10/1994,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2006,328,,Professional Certification,2014,3.87
669,PPM,Undergraduate,Computer Science,2/4/1989,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2009,309,low-income,Professional Certification,2012,3.25
670,MISM,Undergraduate,Medicine,3/9/1980,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2009,316,Disability,Baccalaureate,2014,3.66
671,Global PPM,Postgraduate,Psychology,22/12/1989,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2007,310,,Diploma,2011,3.93
672,Global MISM,Undergraduate,Mathematics,1/8/1986,Female,India,India,India,GRE,Full-time,External,India,Hindi,2009,323,,Baccalaureate,2014,3.57
673,PPM,Postgraduate,Public Administration,27/09/1996,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2010,309,Regional/ Remote,Professional Certification,2012,3.76
674,Global PPM,Undergraduate,Mathematics,12/2/1993,Female,India,India,India,GRE,Full-time,External,India,Hindi,2004,310,,Post-graduate,2010,3.66
